"Id","Carat","Cut","Color","Clarity","Depth","Table","Price","X","Y","Z"
"7703",1.12,"Premium","E","SI2",62.4,58,4277,6.59,6.64,4.13
"7704",1.29,"Fair","G","I1",66,58,4277,6.82,6.75,4.48
"7705",0.9,"Fair","D","VS2",57.4,65,4277,6.26,6.29,3.6
"7706",1.04,"Ideal","G","SI2",62,57,4277,6.6,6.53,4.07
"7707",1.04,"Premium","G","SI2",60.9,58,4277,6.58,6.52,3.99
"7708",1.04,"Premium","G","SI2",62.9,58,4277,6.47,6.43,4.06
"7709",0.9,"Good","E","VS2",64,58,4278,6.02,6.07,3.87
"7710",1,"Ideal","J","VS2",61.9,54,4278,6.41,6.45,3.98
"7711",0.33,"Ideal","E","SI1",62,54,579,4.41,4.43,2.74
"7712",0.33,"Ideal","E","SI1",62.5,55,579,4.42,4.45,2.77
"7713",0.33,"Premium","H","VS1",59.2,58,579,4.5,4.55,2.68
"7714",0.33,"Ideal","G","VS2",61.2,55,579,4.46,4.49,2.74
"7715",0.33,"Ideal","E","SI1",61.9,57,579,4.43,4.46,2.75
"7716",0.32,"Ideal","G","VS2",61.5,55,580,4.39,4.43,2.71
"7717",0.32,"Ideal","H","VS1",61.4,55,580,4.43,4.49,2.74
"7718",0.32,"Ideal","H","VS1",61,56,580,4.43,4.45,2.71
"7719",0.26,"Premium","F","VS1",59.5,58,580,4.22,4.18,2.5
"7720",0.26,"Ideal","F","VS1",62.3,56,580,4.1,4.08,2.55
"7721",0.26,"Ideal","F","VS1",60.9,57,580,4.13,4.11,2.51
"7722",0.26,"Premium","E","VS1",60.1,60,580,4.15,4.1,2.48
"7723",0.26,"Premium","E","VS2",62.1,56,580,4.13,4.11,2.56
"7724",0.26,"Premium","E","VS2",60.4,58,580,4.19,4.15,2.52
"7725",0.26,"Ideal","E","VS1",61.8,55,580,4.13,4.09,2.54
"7726",0.26,"Premium","E","VS1",61.9,58,580,4.11,4.1,2.54
"7727",0.26,"Ideal","D","VS1",62,55,580,4.12,4.1,2.55
"7728",0.35,"Ideal","I","SI2",61.6,55,580,4.62,4.53,2.82
"7729",0.32,"Premium","E","VS2",59.3,58,580,4.45,4.49,2.65
"7730",0.3,"Very Good","H","VVS2",63,56,581,4.24,4.27,2.68
"7731",0.3,"Very Good","H","VVS2",62,59,581,4.27,4.34,2.67
"7732",0.3,"Very Good","G","VS1",62.6,56,581,4.29,4.31,2.69
"7733",0.3,"Ideal","H","VVS2",62.5,55,581,4.29,4.32,2.69
"7734",0.3,"Ideal","H","VVS2",61.5,56,581,4.34,4.38,2.68
"7735",0.38,"Ideal","D","SI1",62.3,57,581,4.6,4.65,2.88
"7736",0.34,"Good","F","SI1",61.9,56,581,4.5,4.52,2.79
"7737",0.43,"Premium","H","I1",62,59,581,4.83,4.78,2.98
"7738",0.31,"Fair","E","VS2",55.9,62,581,4.6,4.56,2.56
"7739",0.38,"Very Good","I","SI1",60.2,60,581,4.65,4.68,2.81
"7740",0.38,"Ideal","I","SI1",62.3,56,581,4.58,4.63,2.87
"7741",0.97,"Ideal","J","VS1",61.3,57,4278,6.37,6.41,3.92
"7742",1.07,"Premium","G","SI2",58.5,61,4278,6.71,6.59,3.89
"7743",1.07,"Premium","G","SI2",59.9,59,4278,6.67,6.61,3.98
"7744",1.24,"Premium","E","SI2",60.8,57,4278,6.98,6.94,4.23
"7745",1.24,"Premium","E","SI2",60.8,57,4278,6.98,6.94,4.23
"7746",1.07,"Premium","G","SI2",59.8,60,4278,6.7,6.65,3.99
"7747",0.91,"Good","F","SI1",63.9,55,4279,6.1,6.17,3.92
"7748",0.91,"Very Good","F","SI1",59.7,55,4279,6.33,6.36,3.79
"7749",0.61,"Ideal","D","VVS1",62.1,56,4279,5.46,5.43,3.38
"7750",1.03,"Ideal","F","SI2",61.9,56,4280,6.47,6.43,3.99
"7751",1.02,"Ideal","I","VS2",60.8,57,4281,6.42,6.5,3.93
"7752",1.02,"Ideal","I","VS2",62.7,56,4281,6.37,6.43,4.01
"7753",0.92,"Very Good","G","SI1",61.8,54,4281,6.25,6.37,3.9
"7754",0.64,"Ideal","D","VVS1",61.5,56,4281,5.57,5.59,3.43
"7755",0.98,"Fair","G","SI1",64.4,56,4281,6.33,6.24,4.03
"7756",1.05,"Fair","I","VS1",58.9,66,4281,6.71,6.6,3.92
"7757",1.05,"Very Good","E","SI2",63.2,59,4281,6.43,6.36,4.04
"7758",1.13,"Very Good","F","SI2",62.3,59,4282,6.65,6.68,4.15
"7759",1.03,"Very Good","F","SI1",62.5,59,4282,6.41,6.45,4.02
"7760",1.03,"Ideal","J","VS2",61.6,57,4283,6.52,6.47,4
"7761",1.11,"Very Good","J","VS2",61.8,56,4283,6.59,6.64,4.09
"7762",1.1,"Very Good","J","SI2",61.8,58,4283,6.6,6.63,4.09
"7763",1.03,"Very Good","H","SI2",62.8,59,4283,6.4,6.43,4.03
"7764",1.03,"Ideal","H","SI2",60.6,56,4283,6.53,6.63,3.99
"7765",1.11,"Premium","F","SI2",62.1,58,4283,6.63,6.51,4.1
"7766",1.07,"Premium","E","SI2",60.5,59,4284,6.59,6.67,4.01
"7767",0.91,"Good","G","VS1",63.4,54,4284,6.07,6.24,3.9
"7768",0.91,"Good","G","VS1",63.6,60,4284,6.03,6.11,3.86
"7769",0.91,"Good","G","VS1",63.2,58,4284,6.07,6.15,3.86
"7770",0.81,"Premium","D","VS1",62.3,58,4284,5.94,6,3.72
"7771",0.91,"Very Good","E","SI1",62.1,60,4284,6.21,6.25,3.87
"7772",1.02,"Very Good","F","SI2",60.9,58,4284,6.43,6.55,3.95
"7773",1,"Premium","G","SI2",61.8,60,4284,6.37,6.34,3.93
"7774",1.5,"Fair","J","I1",68.8,57,4284,6.94,6.87,4.75
"7775",0.91,"Ideal","E","SI1",62.3,57,4284,6.21,6.25,3.88
"7776",1,"Ideal","G","SI2",62.8,57,4284,6.37,6.31,3.98
"7777",1.02,"Very Good","H","SI2",63.1,59,4284,6.43,6.37,4.04
"7778",1.02,"Premium","I","SI1",62.7,55,4284,6.48,6.41,4.04
"7779",1.02,"Premium","H","SI2",62.5,54,4284,6.44,6.4,4.01
"7780",1.02,"Premium","I","SI1",58,58,4284,6.84,6.6,3.9
"7781",0.9,"Ideal","F","SI1",61.5,56,4284,6.25,6.2,3.83
"7782",1.02,"Premium","H","SI2",60.9,59,4284,6.51,6.46,3.95
"7783",1.02,"Premium","H","SI2",59.8,59,4284,6.54,6.5,3.9
"7784",1.02,"Ideal","H","SI2",61.8,55,4284,6.51,6.47,4.01
"7785",1.02,"Premium","F","SI2",60,60,4284,6.57,6.53,3.93
"7786",0.72,"Ideal","E","VVS2",62.1,56,4285,5.72,5.77,3.57
"7787",1.01,"Good","E","SI2",61.4,64,4285,6.29,6.42,3.9
"7788",1.02,"Very Good","E","SI2",58.7,63,4286,6.61,6.55,3.86
"7789",0.9,"Very Good","E","SI1",62.9,56,4286,6.09,6.12,3.84
"7790",0.92,"Premium","G","VS2",61.6,62,4287,6.3,6.24,3.86
"7791",0.9,"Very Good","E","SI2",59.9,57,4288,6.25,6.34,3.77
"7792",0.71,"Good","D","VS2",63.6,54,4289,5.7,5.75,3.64
"7793",0.91,"Very Good","E","SI1",63.9,57,4289,6.05,6.12,3.89
"7794",0.9,"Very Good","D","SI1",62.1,60,4289,6.11,6.19,3.82
"7795",1.04,"Very Good","I","SI1",62,57,4290,6.47,6.5,4.02
"7796",1.04,"Premium","I","SI1",61.8,60,4290,6.47,6.51,4.01
"7797",1.04,"Ideal","H","SI2",61.1,56,4290,6.6,6.66,4.05
"7798",1.03,"Ideal","G","SI2",62.9,57,4290,6.37,6.47,4.04
"7799",1.04,"Good","E","SI2",62.3,62,4290,6.4,6.44,4
"7800",1.12,"Ideal","H","SI1",62.7,56,4290,6.66,6.61,4.16
"7801",1.02,"Ideal","G","SI2",62.7,57,4291,6.42,6.44,4.03
"7802",1.02,"Very Good","G","SI2",62.9,59,4291,6.38,6.4,4.02
"7803",1.02,"Premium","G","SI2",62.5,59,4291,6.37,6.42,4
"7804",1.02,"Very Good","G","SI2",61.6,61,4291,6.46,6.47,3.98
"7805",0.9,"Very Good","D","SI1",61.8,59,4291,6.13,6.16,3.8
"7806",1.29,"Premium","I","SI2",61.1,62,4291,7,6.94,4.26
"7807",1.03,"Very Good","J","VS1",63.4,58,4292,6.36,6.42,4.05
"7808",1.05,"Very Good","I","SI1",63.5,58,4292,6.46,6.43,4.09
"7809",0.85,"Very Good","F","VS1",62,55,4293,6.08,6.14,3.78
"7810",0.56,"Ideal","D","IF",61.9,57,4293,5.28,5.31,3.28
"7811",0.91,"Premium","H","VS2",60.6,58,4293,6.3,6.25,3.8
"7812",1.18,"Very Good","J","SI2",63.5,57,4294,6.68,6.74,4.26
"7813",1.13,"Premium","H","SI2",62.3,59,4294,6.68,6.65,4.15
"7814",1.01,"Very Good","J","SI1",62.2,57,4295,6.35,6.39,3.96
"7815",1,"Ideal","H","SI2",59.4,55,4295,6.59,6.65,3.93
"7816",1,"Very Good","D","SI2",61.5,63,4295,6.32,6.27,3.87
"7817",1,"Good","D","SI2",57.8,58,4295,6.61,6.55,3.8
"7818",1,"Very Good","D","SI2",63.5,59,4295,6.35,6.32,4.02
"7819",1,"Fair","G","SI1",64.4,57,4295,6.32,6.28,4.06
"7820",1,"Very Good","G","SI1",63.1,56,4295,6.41,6.31,4.01
"7821",1,"Fair","G","SI1",66.2,58,4295,6.25,6.15,4.11
"7822",1,"Very Good","D","SI2",63.3,60,4295,6.29,6.19,3.95
"7823",1,"Premium","D","SI2",60.3,58,4295,6.48,6.45,3.9
"7824",1,"Premium","D","SI2",60.8,60,4295,6.45,6.41,3.91
"7825",0.9,"Very Good","G","VS2",60.5,60,4296,6.2,6.24,3.76
"7826",0.9,"Good","G","VS2",61.5,61,4296,6.18,6.21,3.81
"7827",1.02,"Ideal","H","SI2",60.5,57,4297,6.52,6.56,3.95
"7828",0.9,"Very Good","G","VS1",62.4,58,4297,6.14,6.16,3.84
"7829",0.93,"Premium","F","SI1",62.3,58,4297,6.22,6.18,3.86
"7830",0.91,"Good","H","VS1",63.4,56,4298,6.12,6.18,3.9
"7831",1.01,"Very Good","F","SI2",61.8,56,4298,6.43,6.38,3.96
"7832",1.01,"Premium","E","SI1",61.6,59,4299,6.44,6.42,3.96
"7833",1.01,"Very Good","E","SI2",63.4,59,4299,6.32,6.26,3.99
"7834",1.01,"Very Good","F","SI2",63.2,58,4299,6.43,6.3,4.02
"7835",1.01,"Very Good","F","SI2",63.3,57,4299,6.39,6.37,4.04
"7836",1.01,"Ideal","G","SI2",61.5,57,4299,6.5,6.42,3.97
"7837",1.2,"Very Good","I","SI1",63.1,61,4301,6.65,6.58,4.18
"7838",1.2,"Premium","H","SI2",60.8,59,4301,6.8,6.75,4.12
"7839",0.96,"Ideal","G","SI1",63,53,4301,6.24,6.21,3.92
"7840",1.01,"Good","F","SI2",61.5,62,4302,6.41,6.46,3.96
"7841",1.13,"Ideal","E","SI2",62.4,56,4303,6.66,6.63,4.15
"7842",0.91,"Very Good","D","SI1",62.8,57,4303,6.12,6.17,3.86
"7843",1.02,"Very Good","H","SI2",59.7,58,4303,6.53,6.57,3.91
"7844",1.09,"Premium","J","VS1",59.3,57,4303,6.79,6.74,4.01
"7845",0.77,"Very Good","F","VVS1",61.1,57,4304,5.91,5.94,3.62
"7846",0.93,"Very Good","E","SI1",62.8,56,4304,6.19,6.24,3.9
"7847",0.8,"Very Good","E","VVS2",62.9,59,4304,5.88,5.95,3.72
"7848",1.01,"Very Good","F","SI2",59.1,57,4304,6.57,6.62,3.9
"7849",0.9,"Ideal","D","SI1",60.7,57,4304,6.23,6.16,3.76
"7850",0.9,"Very Good","D","SI1",63.3,57,4304,6.12,6.07,3.86
"7851",0.9,"Premium","D","SI1",61.2,60,4304,6.19,6.14,3.77
"7852",0.9,"Premium","D","SI1",62.7,56,4304,6.16,6.12,3.85
"7853",0.9,"Premium","D","SI1",61.5,58,4304,6.21,6.15,3.8
"7854",0.9,"Very Good","D","SI1",61,63,4304,6.13,6.1,3.73
"7855",0.9,"Very Good","D","SI1",63.5,57,4304,6.15,6.11,3.89
"7856",0.9,"Premium","D","SI1",59.4,62,4304,6.24,6.19,3.69
"7857",0.9,"Premium","D","SI1",62.7,58,4304,6.15,6.09,3.84
"7858",0.9,"Premium","D","SI1",62.6,58,4304,6.15,6.11,3.84
"7859",1,"Good","H","VS2",63.6,57,4305,6.35,6.26,4.01
"7860",1.01,"Very Good","H","SI1",62.5,58,4306,6.35,6.38,3.98
"7861",1.01,"Very Good","H","SI1",62.3,57,4306,6.36,6.42,3.98
"7862",1.13,"Ideal","I","SI2",61.7,57,4307,6.59,6.7,4.13
"7863",1.11,"Very Good","E","SI2",62.3,58,4307,6.64,6.68,4.15
"7864",1.07,"Very Good","I","SI1",61.8,60,4307,6.52,6.56,4.04
"7865",1,"Good","E","SI2",62.1,61,4307,6.36,6.4,3.96
"7866",1.16,"Fair","G","SI2",60.1,60,4307,6.9,6.72,4.09
"7867",1,"Very Good","E","SI2",62.5,59,4308,6.31,6.37,3.96
"7868",0.98,"Premium","F","SI2",61.8,58,4308,6.37,6.32,3.92
"7869",1.01,"Premium","E","SI2",58.6,58,4308,6.66,6.62,3.89
"7870",0.9,"Very Good","G","VS2",63.1,56,4309,6.14,6.04,3.84
"7871",0.9,"Good","G","VS2",63.7,60,4309,6.02,5.98,3.82
"7872",0.9,"Good","F","VS2",63.6,59,4309,6.06,6.11,3.87
"7873",0.9,"Good","H","VS1",63.5,59,4309,6.1,6.13,3.88
"7874",0.9,"Very Good","H","VS1",62.9,58,4309,6.06,6.12,3.83
"7875",0.9,"Very Good","H","VS1",62.1,59,4309,6.09,6.14,3.8
"7876",0.9,"Good","F","VS2",63.8,55,4309,6.09,6.13,3.9
"7877",0.9,"Premium","H","VS1",62.4,58,4309,6.15,6.19,3.85
"7878",0.91,"Good","H","VS2",59.9,61,4309,6.18,6.24,3.72
"7879",0.9,"Premium","G","VS2",61.5,60,4309,6.16,6.13,3.78
"7880",0.92,"Ideal","E","SI2",62.6,57,4309,6.22,6.18,3.88
"7881",0.9,"Very Good","G","VS2",63.3,54,4309,6.19,6.11,3.89
"7882",0.9,"Fair","G","VS2",65.8,61,4309,5.99,5.96,3.93
"7883",0.9,"Ideal","G","VS2",62.4,54,4309,6.22,6.19,3.87
"7884",1.04,"Very Good","H","SI1",63.2,57,4310,6.45,6.4,4.06
"7885",1.21,"Premium","F","SI2",62.4,60,4310,6.77,6.73,4.21
"7886",0.66,"Very Good","D","VVS2",60.7,59,4311,5.6,5.67,3.42
"7887",1,"Very Good","E","SI2",61.9,59,4311,6.39,6.43,3.97
"7888",1,"Very Good","E","SI2",60.7,59,4311,6.38,6.44,3.89
"7889",1,"Fair","D","SI2",64.5,54,4312,6.34,6.28,4.07
"7890",1,"Very Good","E","SI2",62.2,59,4312,6.35,6.38,3.96
"7891",1.21,"Very Good","J","SI1",62.7,57,4312,6.72,6.77,4.23
"7892",1,"Very Good","E","SI2",60.6,61,4312,6.39,6.44,3.89
"7893",1,"Good","E","SI2",63.3,55,4312,6.25,6.29,3.97
"7894",1.12,"Very Good","I","SI1",60.6,60,4312,6.73,6.77,4.09
"7895",1.1,"Good","I","SI1",57.7,60,4312,6.82,6.77,3.92
"7896",1.1,"Premium","I","SI1",60.4,61,4312,6.73,6.69,4.05
"7897",1,"Fair","H","VVS2",65.3,58,4312,6.25,6.18,4.06
"7898",1,"Fair","H","VVS2",65.1,57,4312,6.27,6.23,4.07
"7899",1,"Premium","H","VVS2",61.9,61,4312,6.36,6.31,3.92
"7900",1,"Fair","G","SI1",64.7,60,4312,6.22,6.18,4.01
"7901",1,"Fair","F","VS2",68.3,58,4312,5.98,5.95,4.08
"7902",1,"Good","D","SI1",64.3,62,4312,6.18,6.13,3.96
"7903",1,"Ideal","H","SI2",61.4,56,4312,6.46,6.41,3.95
"7904",0.91,"Premium","H","VS2",61.8,60,4313,6.18,6.22,3.83
"7905",1.01,"Very Good","I","SI1",63.1,57,4313,6.32,6.36,4
"7906",1.06,"Ideal","I","SI1",62.2,56,4313,6.49,6.53,4.05
"7907",1.07,"Ideal","H","SI2",59.2,57,4314,6.7,6.64,3.95
"7908",0.81,"Ideal","E","VS2",62,57,4314,5.96,5.98,3.7
"7909",0.9,"Ideal","G","SI2",60.7,57,4314,6.19,6.33,3.8
"7910",1.07,"Premium","I","SI1",60.7,61,4314,6.6,6.55,3.99
"7911",1.07,"Very Good","E","SI1",60.4,63,4314,6.67,6.6,4.01
"7912",1.03,"Very Good","G","SI2",63,57,4315,6.4,6.42,4.04
"7913",0.9,"Very Good","E","SI1",62.6,58,4315,6.11,6.15,3.84
"7914",0.9,"Very Good","E","SI1",62.6,61,4315,6.06,6.11,3.81
"7915",0.9,"Very Good","E","SI1",63,56,4315,6.11,6.15,3.86
"7916",1.15,"Ideal","H","SI2",60.5,56,4315,6.83,6.8,4.13
"7917",0.81,"Ideal","D","VS2",59.5,60,4315,6.08,6.15,3.64
"7918",1.09,"Ideal","I","SI2",60.3,57,4315,6.64,6.7,4.02
"7919",0.9,"Good","E","VS2",64.2,59,4315,6.02,6.1,3.89
"7920",1.11,"Premium","J","VS2",59.9,60,4315,6.78,6.71,4.04
"7921",0.91,"Very Good","G","VS2",59.5,58,4316,6.26,6.34,3.75
"7922",1,"Very Good","H","SI2",61.7,55,4316,6.4,6.46,3.97
"7923",1.11,"Very Good","J","SI1",62.4,57.7,4316,6.57,6.64,4.12
"7924",1.01,"Ideal","I","SI1",62.2,56,4316,6.35,6.42,3.97
"7925",1.04,"Very Good","H","SI1",63.1,58,4316,6.43,6.37,4.04
"7926",1.04,"Premium","H","SI1",62.1,56,4316,6.48,6.41,4.01
"7927",1.01,"Premium","F","SI2",59.6,59,4317,6.59,6.52,3.91
"7928",0.91,"Ideal","I","VS2",61.6,55,4317,6.21,6.28,3.85
"7929",0.93,"Ideal","H","SI1",61.7,55,4317,6.26,6.29,3.87
"7930",1.01,"Fair","F","SI2",65.3,59,4317,6.28,6.24,4.09
"7931",0.84,"Very Good","F","VVS2",60.4,62,4318,6.1,6.15,3.7
"7932",1.08,"Premium","G","SI2",60.7,60,4318,6.64,6.61,4.02
"7933",0.9,"Ideal","F","SI1",62,57,4318,6.21,6.25,3.86
"7934",1.02,"Good","D","SI2",61.5,61,4318,6.34,6.41,3.92
"7935",1.08,"Premium","G","SI2",59.8,57,4318,6.72,6.66,4
"7936",1.08,"Very Good","G","SI2",63.2,57,4318,6.54,6.5,4.12
"7937",1.05,"Premium","G","SI2",62.5,60,4318,6.5,6.45,4.05
"7938",1.05,"Premium","G","SI2",61.3,58,4318,6.6,6.55,4.03
"7939",1.05,"Very Good","G","SI2",63.2,54,4318,6.52,6.49,4.11
"7940",1.05,"Premium","G","SI2",61.6,60,4318,6.56,6.49,4.02
"7941",1.02,"Premium","F","SI2",60.3,59,4318,6.53,6.5,3.93
"7942",0.84,"Premium","E","VS1",59.7,59,4318,6.16,6.13,3.67
"7943",1.02,"Very Good","F","SI2",63,58,4319,6.37,6.43,4.03
"7944",1.02,"Ideal","F","SI2",62.4,57,4319,6.4,6.43,4
"7945",1,"Premium","G","SI2",61.8,58,4319,6.39,6.43,3.96
"7946",1.02,"Ideal","H","SI2",60.7,57,4319,6.51,6.54,3.96
"7947",1.07,"Premium","F","SI2",58.2,58,4319,6.79,6.72,3.93
"7948",1.07,"Ideal","I","VS2",61.1,57,4319,6.66,6.6,4.05
"7949",1.16,"Premium","G","SI2",62,59,4320,6.74,6.62,4.14
"7950",0.9,"Very Good","G","SI1",62.4,59,4320,6.1,6.15,3.82
"7951",0.65,"Ideal","D","VVS1",61.9,56,4320,5.53,5.56,3.43
"7952",1.01,"Premium","H","SI1",62.7,59,4320,6.33,6.27,3.95
"7953",1.01,"Good","H","SI1",60.3,64,4320,6.52,6.49,3.92
"7954",1.01,"Premium","H","SI1",60.6,61,4320,6.39,6.35,3.86
"7955",1.45,"Fair","F","I1",64.8,67,4320,7.16,7,4.64
"7956",1.07,"Very Good","G","SI2",62.9,59,4321,6.51,6.58,4.12
"7957",0.9,"Premium","H","VS2",60.4,59,4321,6.24,6.27,3.78
"7958",1,"Very Good","E","SI2",59.8,58,4321,6.47,6.53,3.89
"7959",1,"Very Good","E","SI2",59.6,59,4321,6.48,6.51,3.87
"7960",1,"Very Good","E","SI2",63.9,57,4321,6.24,6.27,4
"7961",1.04,"Premium","F","SI2",62.8,55,4321,6.48,6.41,4.05
"7962",1.04,"Good","F","SI2",64.2,56,4321,6.39,6.36,4.09
"7963",1.12,"Premium","I","VS2",62.4,58,4321,6.63,6.59,4.13
"7964",1.06,"Good","E","SI2",63.9,60,4321,6.45,6.41,4.11
"7965",1.09,"Very Good","D","SI2",59.2,63,4322,6.71,6.67,3.96
"7966",1.09,"Premium","G","SI1",62.5,59,4322,6.56,6.53,4.09
"7967",1.09,"Premium","G","SI1",61.8,59,4322,6.59,6.53,4.06
"7968",1.16,"Very Good","J","VS2",63.7,56,4323,6.63,6.68,4.24
"7969",0.7,"Ideal","D","VS1",61.4,57,4323,5.71,5.76,3.52
"7970",0.7,"Ideal","D","VS1",61.5,57,4323,5.68,5.71,3.5
"7971",1.04,"Ideal","H","SI2",60.3,57,4323,6.54,6.59,3.96
"7972",0.9,"Very Good","H","VS1",62.2,57,4324,6.1,6.15,3.81
"7973",0.9,"Very Good","H","VS1",63.2,59,4324,6.08,6.11,3.85
"7974",0.9,"Very Good","H","VS1",62.2,59,4324,6.14,6.18,3.83
"7975",1.17,"Premium","F","SI2",59.6,60,4324,6.88,6.85,4.09
"7976",1.27,"Good","F","I1",59.2,64,4324,7.06,6.99,4.16
"7977",0.9,"Ideal","F","SI1",60.7,57,4324,6.25,6.21,3.78
"7978",0.93,"Very Good","E","SI2",60.5,57,4325,6.32,6.37,3.84
"7979",0.71,"Ideal","D","VVS2",61.6,54,4325,5.74,5.78,3.55
"7980",0.68,"Ideal","D","VVS1",61.3,57,4325,5.66,5.69,3.48
"7981",0.84,"Ideal","G","VS1",61.8,56,4325,6.02,6.11,3.75
"7982",1.12,"Ideal","J","SI2",62.5,57,4325,6.63,6.59,4.13
"7983",1.03,"Ideal","H","SI2",61.1,57,4325,6.48,6.52,3.97
"7984",0.92,"Ideal","H","SI1",60.5,57,4325,6.27,6.32,3.81
"7985",1.03,"Good","H","SI1",63.1,56,4326,6.35,6.39,4.02
"7986",1.03,"Very Good","H","SI1",58.6,61,4326,6.6,6.64,3.88
"7987",1.01,"Good","G","SI1",63.2,55,4326,6.32,6.4,4.02
"7988",0.92,"Good","F","SI1",64,56,4326,6.12,6.17,3.93
"7989",1.03,"Premium","I","SI1",62,58,4326,6.47,6.43,4
"7990",1.16,"Premium","J","SI1",62.2,58,4326,6.75,6.68,4.18
"7991",1.16,"Premium","I","SI2",62.1,58,4326,6.78,6.71,4.19
"7992",1.03,"Very Good","E","SI2",60.7,63,4326,6.48,6.44,3.92
"7993",1.01,"Premium","G","SI2",62.4,59,4327,6.39,6.34,3.97
"7994",1.01,"Good","G","SI2",63.8,56,4327,6.32,6.28,4.02
"7995",0.92,"Very Good","D","SI2",61.6,58,4327,6.19,6.22,3.82
"7996",0.82,"Ideal","D","VS2",62.4,54,4327,5.99,6.02,3.75
"7997",1.01,"Premium","G","SI2",62,58,4327,6.41,6.37,3.96
"7998",1.01,"Premium","G","SI2",62.7,58,4327,6.44,6.38,4.02
"7999",1.01,"Premium","G","SI2",60.5,58,4327,6.55,6.47,3.94
"8000",1.01,"Premium","G","SI2",61.9,59,4327,6.46,6.39,3.98
"8001",1.01,"Ideal","G","SI2",59.6,57,4327,6.59,6.54,3.91
"8002",1.01,"Premium","G","SI2",60.1,59,4327,6.55,6.46,3.91
"8003",1.01,"Ideal","G","SI2",60.5,58,4327,6.52,6.48,3.93
"8004",1.01,"Premium","G","SI2",60.4,59,4327,6.57,6.52,3.95
"8005",1.01,"Premium","G","SI2",62.5,60,4327,6.39,6.34,3.98
"8006",1.01,"Premium","G","SI2",61,58,4327,6.48,6.43,3.94
"8007",1.01,"Premium","G","SI2",60.1,61,4327,6.6,6.55,3.95
"8008",0.9,"Very Good","H","VS2",62.3,59,4328,6.1,6.17,3.82
"8009",0.9,"Very Good","H","VS1",62.5,58,4328,6.08,6.14,3.82
"8010",1,"Fair","F","SI1",67.1,57,4328,6.06,6.1,4.08
"8011",1.15,"Premium","E","SI2",62.5,58,4328,6.72,6.65,4.18
"8012",1.15,"Premium","E","SI2",61.7,60,4328,6.78,6.7,4.16
"8013",1.03,"Fair","I","VS1",57.6,58,4328,6.67,6.58,3.81
"8014",1.03,"Premium","E","SI2",61.4,58,4328,6.49,6.45,3.97
"8015",1.5,"Fair","I","SI2",70.1,58,4328,6.96,6.85,4.84
"8016",0.92,"Ideal","H","VS1",60.9,57,4328,6.33,6.29,3.84
"8017",1.19,"Very Good","J","SI2",63.4,56.8,4329,6.7,6.79,4.27
"8018",1.04,"Premium","D","SI2",58.2,59,4330,6.67,6.62,3.87
"8019",1.01,"Premium","E","SI1",61.7,56,4330,6.44,6.39,3.96
"8020",1.05,"Ideal","H","SI2",61.2,57,4331,6.55,6.62,4.03
"8021",1.05,"Ideal","H","SI2",61.2,57,4331,6.54,6.59,4.02
"8022",1.25,"Premium","J","SI2",62.3,59,4331,6.82,6.86,4.26
"8023",1.19,"Premium","H","SI2",61.9,58,4332,6.84,6.77,4.21
"8024",0.91,"Premium","E","SI1",62.1,58,4332,6.15,6.18,3.83
"8025",1.04,"Very Good","H","SI2",60.2,60,4332,6.52,6.57,3.94
"8026",1.01,"Very Good","F","SI2",62.2,58,4332,6.33,6.38,3.95
"8027",1.01,"Very Good","F","SI2",62.1,58,4332,6.35,6.41,3.96
"8028",1.06,"Ideal","I","SI1",62.8,56,4333,6.52,6.47,4.08
"8029",1.08,"Ideal","H","SI1",62.2,57,4333,6.56,6.6,4.09
"8030",0.96,"Ideal","F","VS1",61.7,56,4333,6.4,6.34,3.93
"8031",1,"Premium","F","SI2",62.9,56,4333,6.42,6.36,4.02
"8032",1,"Premium","F","SI2",59.9,61,4333,6.46,6.42,3.86
"8033",1,"Premium","F","SI2",61.6,62,4333,6.37,6.3,3.9
"8034",0.91,"Very Good","F","SI2",62.5,58,4334,6.1,6.16,3.83
"8035",0.88,"Ideal","H","VVS1",62,59,4334,6.12,6.13,3.8
"8036",0.9,"Premium","E","VS2",62.9,58,4334,6.15,6.12,3.86
"8037",0.9,"Good","D","VS2",62.6,65,4334,6.1,6.04,3.8
"8038",0.9,"Premium","E","SI1",63,59,4334,6.13,6.1,3.85
"8039",0.78,"Ideal","D","VS1",62.1,55,4336,5.9,5.95,3.68
"8040",1.01,"Ideal","I","SI2",62.5,57,4336,6.38,6.45,4.01
"8041",0.39,"Good","J","VS2",63.3,56,581,4.6,4.63,2.92
"8042",0.39,"Ideal","J","VS2",61.4,57,581,4.66,4.72,2.88
"8043",0.39,"Very Good","G","SI2",62.7,54,581,4.64,4.71,2.93
"8044",0.38,"Premium","I","SI1",60.5,58,581,4.67,4.72,2.84
"8045",0.39,"Premium","J","VS2",61.3,60,581,4.65,4.68,2.86
"8046",0.25,"Ideal","G","VVS1",61.7,56,582,4.05,4.07,2.51
"8047",0.25,"Ideal","G","VVS1",62.6,55,582,4.03,4.04,2.52
"8048",0.25,"Ideal","G","VVS1",62.6,56,582,4.01,4.05,2.52
"8049",0.31,"Ideal","E","SI1",62.1,56,582,4.35,4.38,2.71
"8050",0.25,"Ideal","G","IF",61.1,57,582,4.06,4.07,2.48
"8051",0.25,"Very Good","F","VVS2",61.2,55,583,4.1,4.14,2.52
